code	parent_fld	mgroup	msort	page	form	name	description	inactive	extended	next_line	indicator	exclude_on	depends_on	super	help_name	img_dn	img_up	img_sel	img_icon	url	member
395	393	Products2	2	os28081		Steel Wool		0													
396	Products2	Products2	0	scan/co=yes/fi=products/sf=prod_group/se=Safety Equipment/op=eq/tf=category,description		Safety Equipment		0													
1111	1110	catalog/top	1	process/locale/en_US/page/index		English	Select English	0													
1112	1110	catalog/top	1	process/locale/de_DE/page/index		Deutsch	Select German	0													
26	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/tf=category,description		Hand Tools		0													
27	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Brushes/op=eq/tf=description		Brushes		0													
28	27	Products	2	os28009		Brush Set		0													
29	27	Products	2	os28108		Hand Brush		0													
30	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hammers/op=eq/tf=description		Hammers		0													
31	30	Products	2	os28044		Framing Hammer		0													
32	30	Products	2	os28073		Mini-Sledge		0													
33	30	Products	2	os28075		Modeling Hammer		0													
34	30	Products	2	os28074		Rubber Mallet		0													
35	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hand Planes/op=eq/tf=description		Hand Planes		0													
36	35	Products	2	os28080		The Blade Hand Planer		0													
37	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hand Saws/op=eq/tf=description		Hand Saws		0													
38	37	Products	2	os28072		Deluxe Hand Saw		0													
39	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Picks & Hatchets/op=eq/tf=description		Picks & Hatchets		0													
40	39	Products	2	os28076		Digger Hand Trencher		0													
41	39	Products	2	os28113		The Claw Hand Rake		0													
42	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Pliers/op=eq/tf=description		Pliers		0													
43	42	Products	2	os28062		Electricians Plier Set		0													
44	42	Products	2	os28065		Mechanics Pliers		0													
45	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Shears/op=eq/tf=description		Shears		0													
46	45	Products	2	os28111		Hedge Shears		0													
47	45	Products	2	os28110		Mighty Mouse Tin Snips		0													
48	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Shovels/op=eq/tf=description		Shovels		0													
49	48	Products	2	os28112		Garden Shovel		0													
50	48	Products	2	os28109		Mini-Spade		0													
51	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Wrenches/op=eq/tf=description		Wrenches		0													
52	51	Products	2	os28064		Mechanics Wrench Set		0													
53	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Hardware/op=eq/tf=category,description		Hardware		0													
54	53	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hardware/op=eq/sf=category/se=Nails/op=eq/tf=description		Nails		0													
55	54	Products	2	os28057c		10 Penny Nails		0													
56	54	Products	2	os28057a		16 Penny Nails		0													
57	54	Products	2	os28057b		8 Penny Nails		0													
58	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/tf=category,description		Ladders		0													
59	58	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/sf=category/se=Ladders/op=eq/tf=description		Ladders		0													
60	59	Products	2	os28085		Big A A-Frame Ladder		0													
61	59	Products	2	os28008		Painters Ladder		0													
62	58	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/sf=category/se=Step Stools/op=eq/tf=description		Step Stools		0													
63	62	Products	2	os29000		3' Step Ladder		0													
